iter	MultiClass	AUC:class=0	AUC:class=1	AUC:class=2	AUC:class=3	AUC:class=4	AUC:class=5	AUC:class=6
21	-0.6682533086	0.8806080931	0.868618496	0.9853028008	0.9952468607	0.9444666332	0.9696023157	0.9855371544
22	-0.6564288856	0.8828349714	0.8696191945	0.9853899433	0.9953110303	0.9461455214	0.9698075794	0.9864604477
23	-0.6460415682	0.8849231084	0.8702298503	0.9855087456	0.995312227	0.9468068836	0.9700106157	0.9869442065
24	-0.6375825224	0.8854911446	0.8701260957	0.9857078729	0.9952533925	0.9484247302	0.9703542366	0.9870330521
25	-0.6303911737	0.8855866144	0.8697584983	0.9860619995	0.9958243424	0.9498809442	0.9709185369	0.986961684
26	-0.6232875111	0.8858713249	0.8696154853	0.9863317331	0.9961662203	0.9501062172	0.9714639982	0.9870531233
27	-0.6174957615	0.8862018093	0.8696555927	0.9863240662	0.9960620614	0.9503636958	0.9715316829	0.9871452847
28	-0.6117658866	0.8874133396	0.8702458032	0.9863057819	0.9960890662	0.9503002529	0.9716158311	0.9873749415
29	-0.6057539526	0.8881368423	0.8698644411	0.9864158937	0.9960844971	0.9518252035	0.9717370131	0.9874302626
30	-0.6014468323	0.8887328906	0.8702243356	0.9864268181	0.996110287	0.9524891568	0.9717420369	0.9875989467
31	-0.5975295091	0.8891438014	0.870002244	0.9865020931	0.9961618529	0.9523914415	0.9719672634	0.9875986121
32	-0.592654397	0.8894038457	0.8690107341	0.9865039528	0.996249994	0.9531259254	0.972035302	0.9877223022
33	-0.5881829974	0.890321707	0.8684803468	0.986492212	0.996238897	0.9562897016	0.9719731756	0.9879367454
34	-0.5837631844	0.8904913983	0.8682992701	0.9868217334	0.9964327606	0.9562999395	0.9728975193	0.9880239714
35	-0.5802853834	0.8907130739	0.868638435	0.9871499578	0.9966257241	0.956016712	0.973304713	0.9881103011
36	-0.5764946099	0.8910270354	0.8682609377	0.9871421868	0.9966559328	0.9562205118	0.9734432173	0.9882375697
37	-0.5731112164	0.8913978485	0.8676984723	0.987145111	0.9967492646	0.9560121717	0.9734279387	0.9882777698
38	-0.5695722206	0.8916022423	0.8662269717	0.9871705018	0.9967142946	0.9564623884	0.9734076987	0.9884007101
39	-0.5659058985	0.8922054014	0.8655838813	0.987233688	0.9966704225	0.9574189787	0.9735365214	0.9885400797
40	-0.5627172291	0.8924287643	0.8643777405	0.9872211704	0.996570309	0.9578890771	0.9735504378	0.9886890762
41	-0.5604516174	0.8927074342	0.8630921452	0.9872191197	0.9965586517	0.9575924298	0.9735497938	0.9889085146
42	-0.5577998049	0.892778503	0.8632431943	0.9875143415	0.9968203831	0.9577181885	0.9740105098	0.9889250454
43	-0.5555488507	0.8929359975	0.8632994024	0.9877047404	0.9969981876	0.9578888418	0.974626067	0.9889325123
44	-0.5529066056	0.8935957734	0.8635378617	0.9876890453	0.9971127975	0.9577686678	0.9746866511	0.9889601542
45	-0.550483532	0.8938346945	0.8622454834	0.9876970271	0.9971133489	0.9575689944	0.9747557786	0.9891326527
46	-0.5478828663	0.89404563	0.8612941407	0.9877278305	0.9971296671	0.9580708614	0.9748941146	0.9892243211
47	-0.5457827672	0.8941713974	0.8605000709	0.9877422871	0.9971316999	0.9586203716	0.9749267661	0.9893308635
48	-0.5429935874	0.8945362246	0.859223759	0.9877512108	0.9971377475	0.9584387599	0.974941817	0.9897281797
49	-0.5405689949	0.8947658574	0.8576059006	0.9877404349	0.9971450887	0.958519004	0.9749619522	0.9898228388
50	-0.5376758774	0.8953830458	0.8571267838	0.9877888007	0.9971497064	0.9586797675	0.9751264104	0.9900080836
51	-0.5348721433	0.8955529956	0.856853371	0.9880804956	0.9973016584	0.9590192927	0.9756049255	0.9901039902
52	-0.5328139202	0.8957700901	0.8550886392	0.9880891283	0.9972884348	0.9587048549	0.9756802102	0.9902323935
